団体コード	都道府県名	性別	総数	0～4	5～9	10～14	15～19	20～24	25～29	30～34	35～39	40～44	45～49	50～54	55～59	60～64	65～69	70～74	75～79	80～
010006	北海道	男	2606676	104050	111815	121226	129150	131988	144546	166684	196798	176165	167832	169179	196789	226553	162276	143104	123577	134944
020001	青森県	男	662430	25377	29531	33885	35226	30407	34552	40351	45547	43523	43926	46947	52980	59157	39670	36424	32640	32287
030007	岩手県	男	538907	22336	24545	27233	28371	25530	28691	33497	37285	33826	34849	37698	42404	45372	30576	29170	26862	30662
040002	宮城県	男	961720	43097	45155	48058	49093	55145	61091	68176	75099	65789	61014	63050	70520	77077	51554	45190	38510	44102
050008	秋田県	男	518609	18480	20759	24025	25568	22080	25203	30450	33068	30394	32349	37561	43353	48630	31850	30857	29922	34060
060003	山形県	男	562996	23045	25394	28083	29176	26929	29494	34050	36122	33162	34244	38646	44401	49746	32606	31323	29585	36990
070009	福島県	男	923537	39419	43974	48833	50819	47420	51621	57610	63300	56961	58215	64144	72000	77770	51439	46606	42058	51348
080004	茨城県	男	1486528	63650	68653	73704	76355	81152	88152	98356	115984	104589	92359	93939	109694	125929	93563	78347	57873	64229
090000	栃木県	男	994133	43784	46587	48426	49265	52720	60186	68121	79183	69328	62474	64454	74913	86038	58409	48173	38200	43872
100005	群馬県	男	987671	42866	46958	50133	50934	51812	54559	63775	77051	69615	61357	60341	69870	85098	61986	51128	41316	48872
110001	埼玉県	男	3594851	157175	163709	172500	176630	192519	219888	254867	318071	290211	242383	212743	234997	295527	232769	190038	130395	110429
120006	千葉県	男	3089444	135720	140203	145414	144793	165133	194634	218818	268723	246004	205444	182150	201138	254618	198735	163972	117303	106642
130001	東京都	男	6275193	264449	250617	255455	257596	350636	476470	525190	581760	543604	462757	373425	368481	459046	344651	291399	235587	234069
140007	神奈川県	男	4481050	200012	202030	209159	206901	240741	290278	330981	400702	387019	326343	266267	272270	340431	265984	221958	163513	156461
150002	新潟県	男	1153973	47280	50664	56866	59446	58125	62068	72000	81193	74820	70899	75482	87266	101992	68369	62691	56171	68641
160008	富山県	男	527854	22049	24618	26140	25498	25315	27897	33304	42119	35930	31583	31161	36073	49011	34753	27972	24698	29733
170003	石川県	男	559359	25269	27147	28955	29812	29657	30888	36236	45002	38174	33958	33783	37090	50358	34763	27193	23126	27948
180009	福井県	男	391457	18409	19156	20546	21432	20666	21275	24365	28300	25021	24073	24882	27346	33373	23013	19303	18103	22194
190004	山梨県	男	422626	17502	19723	22015	23396	22458	22823	25258	30653	29714	28170	26913	29739	34492	25404	21961	18384	24021
200000	長野県	男	1051779	46002	50498	54440	53821	50063	53515	64680	78190	71462	65367	63904	70609	86977	66312	57535	50390	68014
210005	岐阜県	男	1012043	45229	49341	53409	52916	52353	55800	63288	76876	68798	62811	60568	67539	87002	64142	55625	45134	51212
220001	静岡県	男	1857844	82914	87462	91330	91298	94011	108106	120170	145250	132204	119043	115468	127912	155863	117606	101043	79453	88711
230006	愛知県	男	3636521	177995	178923	186408	180632	204805	239019	261754	316140	284102	241498	207556	216952	278960	218912	181634	133524	127707
240001	三重県	男	899926	40046	42774	46076	46615	47516	50702	56625	69507	62121	57547	54429	59406	74886	56295	48843	41028	45510
250007	滋賀県	男	685552	35022	36296	37452	36671	40426	41841	47298	55846	48432	42701	40314	43982	54360	38918	31485	25865	28643
260002	京都府	男	1224789	54952	56912	60525	60413	69075	72636	81756	99044	87938	76770	69246	75268	106523	78459	66034	53543	55695
270008	大阪府	男	4218182	191074	199676	214584	207303	224287	256495	286599	360476	333041	278473	233629	254084	348660	273677	234869	170801	150454
280003	兵庫県	男	2684529	124441	130842	139847	138029	143795	153880	172642	215609	197000	173360	158739	173997	224668	167409	140004	112802	117465
290009	奈良県	男	671702	28451	31664	34849	36462	36693	36258	40021	49809	46025	42363	40220	45435	59064	45055	38911	29543	30879
300004	和歌山県	男	486125	19831	21985	25030	26005	25170	25225	27478	34525	31418	30092	30505	33976	42965	31572	28033	24195	28120
310000	鳥取県	男	283326	12602	13367	14382	15003	14726	15995	17763	19878	16771	16771	18666	21661	24868	16135	14359	13445	16934
320005	島根県	男	342801	14808	15622	16956	17665	16024	17051	20121	22783	19584	19203	22419	25840	32321	20349	18623	19100	24332
330001	岡山県	男	932602	43480	45663	48583	48031	49180	53513	59083	71738	60564	54508	55360	61656	79592	59030	48777	43125	50719
340006	広島県	男	1380736	65387	66589	69656	70582	73589	79566	90063	110622	95537	83474	82044	91925	118930	86892	70098	57292	68490
350001	山口県	男	688770	29549	31332	33865	34721	33755	35460	40294	49502	42358	38629	41614	50189	64874	45736	40098	35223	41571
360007	徳島県	男	376501	15292	16661	18055	18827	18980	20561	22740	26029	23187	22087	24198	29148	35827	22717	20571	19090	22531
370002	香川県	男	486413	21866	23289	24624	23780	24195	26349	30943	37413	31592	28200	29706	33754	44934	29430	25221	22765	28352
380008	愛媛県	男	686303	29580	31544	34846	35866	32847	35831	41709	49584	42883	41489	43781	49912	62502	42408	37376	33058	41087
390003	高知県	男	360489	14623	15711	17485	18211	15754	18066	21574	25578	21360	21520	22970	26703	34536	23474	20116	18918	23890
400009	福岡県	男	2393825	118269	116621	122887	123938	133921	151054	166861	187497	161924	144510	148531	168973	201525	133338	116063	93532	104381
410004	佐賀県	男	405516	19804	20752	23031	23395	21089	22944	25103	27036	24090	24281	26819	31212	34129	21342	20107	18135	22247
420000	長崎県	男	676042	30775	32602	36567	37642	31829	34843	38213	44250	41029	41717	46764	54476	59617	37623	36475	33126	38494
430005	熊本県	男	863695	41316	42237	45835	46544	43241	49096	53000	56877	50886	52377	57668	65907	72893	47097	44917	41956	51848
440001	大分県	男	569465	25733	26493	28354	29205	28639	31391	35776	39512	34360	32572	36065	42591	50691	34211	30905	28273	34694
450006	宮崎県	男	542091	26005	26694	29257	29273	25230	28678	32784	35848	31025	31869	36924	42816	47543	30691	29328	26950	31176
460001	鹿児島県	男	805361	38774	39535	42034	43262	36545	42963	47014	50070	45664	48992	57450	66031	68396	44400	43418	40714	50099
470007	沖縄県	男	696260	42815	42613	44009	43774	40364	43988	47343	53676	47554	44847	46987	51081	45699	27223	28755	23168	22364
