団体コード	都道府県名	市区町村名	性別	総数	0～4	5～9	10～14	15～19	20～24	25～29	30～34	35～39	40～44	45～49	50～54	55～59	60～64	65～69	70～74	75～79	80～
010006	北海道		計	5498916	203366	219586	237149	253905	261224	291498	334834	395825	362212	348311	348158	408834	480533	357385	322276	284594	389226
011002	北海道	札幌市	計	1897333	72207	74281	79784	86600	105421	120603	133487	153242	140021	128984	121233	135308	157389	111616	92604	79077	105476
011011	北海道	札幌市中央区	計	212666	7655	7423	7723	8050	13127	16612	16893	18634	17915	16025	13653	13521	15494	10772	9048	8362	11759
011029	北海道	札幌市北区	計	275360	10729	11524	12449	13096	16562	16532	18497	21973	19920	17950	17047	19910	22975	16302	13545	11177	15172
011037	北海道	札幌市東区	計	253087	10429	10211	10713	11270	13902	17178	19112	21916	19175	16287	15258	17452	20483	14385	11878	9915	13523
011045	北海道	札幌市白石区	計	204907	8503	7801	7721	8231	11160	15137	17130	18645	16156	14082	12452	13375	15534	11144	9487	8154	10195
011053	北海道	札幌市豊平区	計	211164	8117	7668	8037	8762	12128	15354	16556	18204	16278	14529	12919	13690	16140	11857	10139	9009	11777
011061	北海道	札幌市南区	計	144934	4404	5079	6023	7306	7578	7201	7701	9022	8992	9611	9725	11501	13947	10112	8797	7750	10185
011070	北海道	札幌市西区	計	210455	8146	8246	8708	9289	10148	12796	14940	17144	15562	14534	13401	15039	17652	12806	10656	9279	12109
011088	北海道	札幌市厚別区	計	129490	4360	4990	6040	6699	7183	6732	7376	9268	9036	9081	9081	10033	11637	8456	6983	5651	6884
011096	北海道	札幌市手稲区	計	140048	5299	5855	6431	7312	7339	7632	8684	10159	8941	8732	9403	11467	13326	9043	6895	5453	8077
011100	北海道	札幌市清田区	計	115222	4565	5484	5939	6585	6294	5429	6598	8277	8046	8153	8294	9320	10201	6739	5176	4327	5795
012025	北海道	函館市	計	280035	9242	10076	11375	12528	12089	13334	15556	19012	17831	16880	17843	21383	26431	19791	18149	16296	22219
012033	北海道	小樽市	計	131744	3703	4285	4919	5500	5373	5379	6349	8079	7698	7526	7617	10118	13523	10505	9574	8902	12694
012041	北海道	旭川市	計	352004	13033	14032	14668	15421	15509	18493	21471	24510	22475	21391	21860	26241	32283	24827	21442	18833	25515
012050	北海道	室蘭市	計	94216	3200	3624	3671	3876	4601	4379	4835	6301	5441	5068	5074	6841	9038	7635	7027	5932	7673
012068	北海道	釧路市	計	184116	6914	7488	7709	8536	8153	9005	10748	12999	11696	11244	11805	14959	16836	12578	11669	9792	11985
012076	北海道	帯広市	計	168464	6875	6996	7767	8188	8621	9535	10637	12638	11293	11066	11082	12138	13924	10241	9321	8115	10027
012084	北海道	北見市	計	124856	4666	5073	5574	5870	5420	6028	7528	8889	7784	7799	8011	9301	11147	8162	7653	6745	9206
012092	北海道	夕張市	計	10839	212	209	288	331	280	297	378	491	474	535	578	879	1074	946	1145	1128	1594
012106	北海道	岩見沢市	計	89770	2990	3368	3846	4245	4044	4106	4635	5816	5312	5442	6026	6812	8317	6101	5924	5516	7270
012114	北海道	網走市	計	39047	1581	1717	1709	1893	2041	1983	2322	2806	2395	2414	2526	2965	3405	2404	2168	1974	2744
012122	北海道	留萌市	計	24489	929	872	929	1000	915	1152	1412	1624	1482	1519	1564	1969	2247	1830	1727	1445	1873
012131	北海道	苫小牧市	計	173800	7721	7925	8007	8243	8475	9938	11592	13742	11207	10784	10818	13639	15176	10556	9063	7334	9580
012149	北海道	稚内市	計	38573	1494	1633	1599	1610	1447	1897	2283	2895	2562	2483	2575	3070	3485	2576	2410	2031	2523
012157	北海道	美唄市	計	25970	701	812	991	1225	934	986	1207	1459	1417	1483	1674	1955	2524	1960	1929	1873	2840
012165	北海道	芦別市	計	16859	356	459	586	740	504	522	662	863	842	898	1042	1345	1658	1453	1443	1459	2027
012173	北海道	江別市	計	121610	3959	4988	6028	7229	7089	5565	6124	8032	8213	8559	8528	9522	10350	7589	6550	5720	7565
012181	北海道	赤平市	計	12508	301	350	406	484	370	385	480	590	576	704	755	976	1334	1094	1177	1091	1435
012190	北海道	紋別市	計	24563	800	928	998	1032	826	1089	1347	1522	1467	1570	1669	1949	2250	1810	1689	1590	2027
012203	北海道	士別市	計	21922	703	838	965	907	715	799	1060	1251	1236	1258	1443	1637	1976	1672	1628	1535	2299
012211	北海道	名寄市	計	30171	1262	1262	1206	1336	1530	1706	1869	1933	1819	1692	1770	2045	2553	1954	1924	1801	2509
012220	北海道	三笠市	計	10355	216	262	289	354	320	296	378	496	457	496	559	788	1057	924	987	999	1477
012238	北海道	根室市	計	29330	1042	1193	1319	1410	1181	1369	1587	1846	1890	1959	1924	2302	2525	2084	2039	1647	2013
012246	北海道	千歳市	計	93546	4657	4667	4645	4899	5982	6773	7063	7758	6923	5896	5484	5870	6622	4776	4168	3445	3918
012254	北海道	滝川市	計	43281	1603	1666	1850	2044	1847	1959	2364	2925	2656	2665	2627	3223	4032	3039	2948	2513	3320
012262	北海道	砂川市	計	18976	603	731	795	797	832	816	923	1130	1011	1089	1147	1408	1754	1390	1399	1311	1840
012271	北海道	歌志内市	計	4425	82	124	121	163	106	158	172	209	184	224	255	373	448	387	391	400	628
012289	北海道	深川市	計	23538	645	760	872	1071	809	896	1093	1273	1306	1341	1448	1759	2206	1905	1887	1777	2490
012297	北海道	富良野市	計	24116	935	1040	1175	1193	1003	1095	1318	1642	1613	1451	1576	1711	1971	1506	1502	1426	1959
012301	北海道	登別市	計	51892	1827	2078	2172	2506	2162	2280	2778	3605	3057	2915	2927	3932	4985	4023	3680	2963	4002
012319	北海道	恵庭市	計	68853	3034	3225	3571	3782	3702	3794	4540	5146	4737	4429	4178	4886	5497	4062	3567	3042	3661
