団体コード	都道府県名	性別	総数	0～4	5～9	10～14	15～19	20～24	25～29	30～34	35～39	40～44	45～49	50～54	55～59	60～64	65～69	70～74	75～79	80～
010006	北海道	女	2892240	99316	107771	115923	124755	129236	146952	168150	199027	186047	180479	178979	212045	253980	195109	179172	161017	254282
020001	青森県	女	733456	24451	28096	32495	34447	29336	33297	38479	44630	44285	45052	48661	55070	62313	47564	47396	47772	70112
030007	岩手県	女	581834	21075	23573	25678	27365	24959	27785	31562	35267	33275	34140	36968	41819	45726	35081	37446	38144	61971
040002	宮城県	女	1017241	40909	42868	45359	47145	53847	62067	67237	73196	64510	61061	63691	71471	77920	55016	53602	52362	84980
050008	秋田県	女	578979	17643	19964	23088	24651	20967	23840	27969	31858	30623	33037	38219	44340	50006	37252	40950	43143	71429
060003	山形県	女	605756	21763	24422	26613	28480	25668	27787	31645	34569	32595	34288	38529	43582	47404	35158	38115	40443	74695
070009	福島県	女	973892	37409	41937	46322	48757	45084	48482	53706	59713	55594	57036	62745	70221	74882	54844	56534	58536	102090
080004	茨城県	女	1486646	60089	65267	69794	71240	73007	80247	88724	104932	94542	86674	89784	106601	125381	93271	81061	71668	124364
090000	栃木県	女	1001768	41151	44392	45889	47163	48460	53619	61171	71018	63298	58466	61756	72238	83485	59678	53264	49962	86758
100005	群馬県	女	1010887	40504	44597	48025	48452	46867	50276	58466	71563	64985	58475	57810	68712	85449	64558	57038	52493	92617
110001	埼玉県	女	3546078	148820	155641	164559	167769	180778	204532	231763	286832	259664	220365	199117	229908	303151	241645	197968	148953	204613
120006	千葉県	女	3072477	128720	133681	138154	137091	152312	179083	200729	244677	221079	186738	172020	199942	261776	207638	171969	137409	199459
130001	東京都	女	6387268	250650	238499	243274	245951	339915	445014	489431	552766	505120	424249	350574	352720	459290	379753	349011	309814	451236
140007	神奈川県	女	4425540	190167	192815	199538	195052	220387	262017	303575	370489	347078	289993	245225	263459	346430	282425	240126	197635	279129
150002	新潟県	女	1224880	44566	48430	54081	57046	54308	58339	67499	77519	71308	69145	73097	86410	100826	74003	73975	75312	139016
160008	富山県	女	565031	20617	23250	24944	24494	23570	25741	30642	39356	34477	31458	31816	37238	50790	38465	33740	34367	60066
170003	石川県	女	600847	24533	25945	27636	27735	27929	29705	34907	43553	38207	34904	34724	38504	52340	38025	32466	32184	57550
180009	福井県	女	414971	17369	18150	19710	19932	19507	20330	22861	27061	24603	24226	25029	27499	33405	24836	23082	24062	43309
190004	山梨県	女	437933	16724	18339	20444	22132	20826	21001	23594	28437	27966	26698	26210	29161	34674	26949	25273	23826	45679
200000	長野県	女	1102023	43776	47929	51260	51693	47046	50128	60646	72981	67464	63036	62872	70021	87886	70618	65253	64212	125202
210005	岐阜県	女	1064632	42950	47244	50780	50863	50267	53065	59516	73366	67667	63645	62457	70485	89394	68738	63187	57233	93775
220001	静岡県	女	1902957	79176	82083	86369	86908	87660	97611	110225	133940	123065	113050	112433	126876	157808	125098	112546	101450	166659
230006	愛知県	女	3613105	168378	169744	177647	171691	184253	209873	237116	289166	258994	224275	198761	214953	284843	226442	195587	163532	237850
240001	三重県	女	944367	38292	40889	43749	44294	44218	47207	53471	66339	60189	57413	55356	61391	77373	60358	55464	52292	86072
250007	滋賀県	女	705375	33062	34110	35259	34703	36770	39885	45836	53481	47085	42643	41098	44374	55043	40138	34564	31851	55473
260002	京都府	女	1322436	51776	54418	57757	57786	65739	73804	82052	99398	88625	78940	71331	79978	115438	87261	76485	68449	113199
270008	大阪府	女	4463441	182533	189251	204942	197844	222846	258117	289073	360468	330673	277720	233883	260885	369291	301961	266388	217569	299997
280003	兵庫県	女	2895610	118189	123942	134128	131805	140757	156860	178025	220131	201380	179550	165774	181425	237640	185069	162841	147894	230200
290009	奈良県	女	734999	27572	29807	33113	34862	36993	38176	41960	52045	49475	45417	43023	49249	64951	49668	42604	36345	59739
