団体コード	都道府県名	性別	総数	0～4	5～9	10～14	15～19	20～24	25～29	30～34	35～39	40～44	45～49	50～54	55～59	60～64	65～69	70～74	75～79	80～
300004	和歌山県	女	539488	18922	20856	24054	24580	24566	25499	27569	34683	33277	32953	31891	35428	45967	35845	33608	32973	56817
310000	鳥取県	女	308887	11853	12930	13521	14503	13736	15103	17001	19133	16729	17278	18958	21406	25056	17976	18056	18845	36803
320005	島根県	女	375417	14109	14984	16107	17093	15372	16330	18685	21640	19283	19707	21991	24947	31471	22892	23430	26451	50925
330001	岡山県	女	1001455	40729	42967	46138	45668	48556	52848	57294	69954	60620	55051	56536	62101	82936	64347	57237	56570	101903
340006	広島県	女	1471992	62134	63089	66109	67009	69734	76802	87582	108198	94702	84071	83778	93060	122929	95418	82162	77621	137594
350001	山口県	女	766631	28160	30013	32397	33085	31543	34940	39733	48270	43997	40299	43637	51758	69406	52729	50488	49710	86466
360007	徳島県	女	414741	14541	15936	17723	18150	18296	20154	22098	26687	24025	23733	25289	29677	35651	25162	24971	26220	46428
370002	香川県	女	523381	20674	22295	23331	22592	23203	25538	30404	36519	31452	28728	30326	34436	46061	32164	29923	30608	55127
380008	愛媛県	女	763959	28317	30018	33117	33887	33269	36507	41325	49299	44677	43936	45957	52492	65612	48702	46948	46574	83322
390003	高知県	女	405937	13762	15113	16585	17381	16184	18188	20915	25604	22399	22449	23839	27597	35621	27111	25284	26736	51169
400009	福岡県	女	2649669	112501	111334	116673	120677	136539	157799	170857	189299	168464	153906	155997	178051	216740	155349	146757	135910	222816
410004	佐賀県	女	450452	18819	19937	21740	22096	21664	23658	25182	27247	25421	25638	28308	32026	35116	25166	25629	25835	46970
420000	長崎県	女	764811	29322	31054	34790	36302	32852	35780	39594	46173	44377	44701	49004	56026	62504	45479	47128	46605	83120
430005	熊本県	女	964776	39620	40114	42993	45211	44431	49881	53215	57860	54761	56311	60769	68144	75178	55019	57290	57858	106121
440001	大分県	女	632436	24655	25079	26938	28094	27365	30885	34943	39463	35926	34691	38414	44266	53920	40028	39127	39118	69524
450006	宮崎県	女	605776	24917	25328	27678	28494	26292	29644	33203	36706	33193	34378	39067	44077	50191	34957	36542	36525	64584
460001	鹿児島県	女	908623	36562	37432	40492	42626	39699	46337	49638	52254	49556	52183	59075	65688	67811	50002	54314	56707	108247
470007	沖縄県	女	717323	40879	40175	41673	41823	40072	45061	47962	53179	47512	44098	45148	48336	43704	28381	32241	28759	48320
