団体コード	都道府県名	市区町村名	性別	総数	0～4	5～9	10～14	15～19	20～24	25～29	30～34	35～39	40～44	45～49	50～54	55～59	60～64	65～69	70～74	75～79	80～
010006	北海道		女	2892240	99316	107771	115923	124755	129236	146952	168150	199027	186047	180479	178979	212045	253980	195109	179172	161017	254282
011002	北海道	札幌市	女	1004716	35329	36530	39188	43018	53699	63263	68778	78696	72644	67984	63683	70987	83401	60457	51797	45783	69479
011011	北海道	札幌市中央区	女	116280	3742	3644	3822	4137	7251	9016	8985	9985	9655	8597	7157	7212	8432	6103	5393	5165	7984
011029	北海道	札幌市北区	女	144248	5258	5696	6008	6530	8031	8620	9487	11148	10218	9276	8837	10288	12222	8804	7395	6421	10009
011037	北海道	札幌市東区	女	132060	5149	4990	5216	5568	6985	8829	9670	10955	9684	8310	7831	8973	10826	7779	6692	5693	8910
011045	北海道	札幌市白石区	女	106957	4161	3920	3794	4007	5744	7833	8621	9364	8095	7202	6373	6957	7972	6093	5331	4784	6706
011053	北海道	札幌市豊平区	女	112559	3940	3774	3999	4307	6173	8185	8589	9347	8331	7688	6905	7287	8647	6549	5883	5246	7709
011061	北海道	札幌市南区	女	77113	2181	2472	2980	3659	3590	3673	3977	4662	4736	5163	5209	6141	7401	5453	4888	4361	6567
011070	北海道	札幌市西区	女	112213	3971	4058	4259	4665	5374	6772	7733	8844	8188	7717	7057	7890	9414	6995	5970	5389	7917
011088	北海道	札幌市厚別区	女	69488	2156	2421	3029	3324	3690	3497	3825	4950	4856	4971	4949	5404	6283	4546	3870	3212	4505
011096	北海道	札幌市手稲区	女	73522	2570	2831	3133	3544	3674	3965	4423	5193	4646	4738	4990	6018	6990	4694	3644	3098	5371
011100	北海道	札幌市清田区	女	60276	2201	2724	2948	3277	3187	2873	3468	4248	4235	4322	4375	4817	5214	3441	2731	2414	3801
012025	北海道	函館市	女	152036	4506	4878	5414	6152	6138	6828	7936	9777	9455	9119	9565	11410	14331	11103	10464	9830	15130
012033	北海道	小樽市	女	72111	1843	2116	2446	2703	2735	2725	3167	4138	4031	4027	4056	5486	7313	5807	5549	5235	8734
012041	北海道	旭川市	女	187865	6324	6910	7151	7649	8030	9475	10856	12584	11867	11477	11576	13859	17334	13696	11847	10557	16673
012050	北海道	室蘭市	女	48951	1582	1829	1802	1795	1807	2029	2352	2993	2716	2630	2530	3453	4829	4210	3883	3397	5114
012068	北海道	釧路市	女	96965	3419	3684	3794	4155	4104	4651	5405	6507	5982	5791	6002	7849	8967	6858	6429	5474	7894
012076	北海道	帯広市	女	87714	3314	3398	3864	4073	4303	4724	5348	6309	5811	5689	5601	6308	7360	5703	5144	4450	6315
012084	北海道	北見市	女	65359	2268	2503	2708	2825	2559	3051	3720	4391	3996	4004	4079	4889	5984	4471	4270	3691	5950
012092	北海道	夕張市	女	5769	110	106	139	164	118	134	163	237	203	267	280	422	564	558	655	639	1010
012106	北海道	岩見沢市	女	47633	1466	1654	1852	2114	2072	2018	2309	2939	2823	2837	3138	3605	4329	3354	3325	3184	4614
012114	北海道	網走市	女	19790	737	844	791	876	870	941	1115	1338	1175	1184	1247	1531	1801	1269	1157	1115	1799
012122	北海道	留萌市	女	12760	460	443	463	510	411	519	703	773	720	722	762	1020	1205	1042	969	812	1226
012131	北海道	苫小牧市	女	89046	3831	3881	3915	4017	4148	4756	5723	6675	5566	5426	5521	6855	7858	5509	4877	4169	6319
012149	北海道	稚内市	女	19706	724	828	787	809	704	871	1098	1317	1240	1196	1240	1521	1819	1426	1345	1129	1652
012157	北海道	美唄市	女	13690	334	392	468	588	431	471	597	686	719	725	832	1004	1324	1055	1129	1081	1854
012165	北海道	芦別市	女	9087	181	216	294	356	237	254	321	431	435	456	562	685	930	775	831	799	1324
012173	北海道	江別市	女	63644	1950	2463	3002	3497	3384	2793	3160	4060	4318	4586	4425	4929	5413	4041	3587	3229	4807
012181	北海道	赤平市	女	6768	144	174	205	238	179	193	257	294	310	383	363	514	710	597	661	585	961
012190	北海道	紋別市	女	12903	378	449	461	488	400	502	647	754	741	794	825	985	1204	1021	983	893	1378
012203	北海道	士別市	女	11585	318	423	473	423	359	360	522	645	632	652	721	861	1061	931	930	811	1463
012211	北海道	名寄市	女	15562	622	617	615	698	689	771	867	949	881	820	882	1063	1348	1046	1099	1013	1582
012220	北海道	三笠市	女	5682	108	135	141	168	158	138	166	241	216	275	274	408	598	496	561	604	995
012238	北海道	根室市	女	15245	483	571	640	701	547	644	729	875	949	999	968	1178	1340	1188	1172	910	1351
012246	北海道	千歳市	女	46000	2240	2229	2266	2293	2631	3046	3414	3683	3261	2819	2697	2944	3390	2566	2188	1843	2490
012254	北海道	滝川市	女	22897	765	767	906	1025	931	994	1200	1475	1370	1348	1337	1766	2143	1661	1673	1359	2177
012262	北海道	砂川市	女	10123	297	382	361	401	431	403	464	561	539	547	590	749	924	788	790	710	1186
012271	北海道	歌志内市	女	2419	35	58	67	82	55	69	85	91	96	113	128	188	224	219	215	244	450
012289	北海道	深川市	女	12583	313	388	432	512	393	459	540	635	708	663	728	942	1185	1082	1023	994	1586
012297	北海道	富良野市	女	12737	478	530	595	594	523	546	669	827	825	754	796	856	1038	846	823	787	1250
012301	北海道	登別市	女	27195	879	992	1105	1203	1034	1161	1337	1776	1587	1528	1493	2018	2683	2176	1972	1634	2617
012319	北海道	恵庭市	女	35045	1516	1565	1760	1816	1771	1894	2218	2557	2348	2236	2100	2493	2821	2182	1947	1600	2221
012335	北海道	伊達市	女	19434	652	682	785	815	619	739	915	1280	1172	1090	1167	1405	1801	1510	1463	1246	2093
012343	北海道	北広島市	女	31290	1044	1397	1476	1531	1414	1375	1670	2326	2084	2048	2016	2431	3107	2217	1663	1341	2150
012351	北海道	石狩市	女	31409	1175	1431	1430	1364	1352	1439	1891	2190	1879	1714	1814	2553	3306	2129	1707	1477	2558
012360	北海道	北斗市	女	25858	1055	1221	1272	1219	1059	1108	1551	1976	1798	1707	1542	1797	2090	1562	1435	1363	2103
013030	北海道	石狩郡当別町	女	9516	237	323	505	600	464	357	331	546	629	726	672	667	854	654	576	486	889
013048	北海道	石狩郡新篠津村	女	1830	55	60	69	97	78	75	98	109	85	94	101	129	137	131	140	117	255
013315	北海道	松前郡松前町	女	4753	85	133	174	156	92	101	170	222	235	211	277	390	493	446	451	429	688
013323	北海道	松前郡福島町	女	2730	48	70	93	97	68	66	90	107	126	141	173	252	272	243	256	226	402
013331	北海道	上磯郡知内町	女	2671	90	100	106	107	71	101	137	132	140	146	166	209	244	199	205	171	347
013340	北海道	上磯郡木古内町	女	2749	47	59	96	91	60	56	85	132	117	142	165	228	257	262	250	266	436
013374	北海道	亀田郡七飯町	女	15487	491	567	680	715	570	620	725	1056	963	1006	949	1194	1416	1053	986	904	1592
013439	北海道	茅部郡鹿部町	女	2326	72	90	101	112	110	94	94	121	138	123	158	164	264	215	152	135	183
013455	北海道	茅部郡森町	女	9393	284	356	397	338	282	380	446	528	530	506	559	744	923	699	667	608	1146
013463	北海道	二海郡八雲町	女	9726	346	372	401	396	364	426	530	589	548	573	605	760	854	624	589	613	1136
013471	北海道	山越郡長万部町	女	3275	94	93	105	104	102	107	124	142	126	190	199	250	269	228	311	359	472
013617	北海道	檜山郡江差町	女	4681	141	171	184	159	131	173	236	301	274	249	284	354	405	347	348	343	581
013625	北海道	檜山郡上ノ国町	女	3105	75	111	124	150	69	94	137	144	151	185	187	244	305	256	252	244	377
013633	北海道	檜山郡厚沢部町	女	2351	69	74	88	84	57	85	83	126	96	136	147	188	208	168	189	208	345
013641	北海道	爾志郡乙部町	女	2391	76	88	96	90	71	76	89	117	124	111	133	192	220	210	200	181	317
013676	北海道	奥尻郡奥尻町	女	1556	55	60	60	45	39	51	68	69	57	74	110	132	137	123	134	124	218
013706	北海道	瀬棚郡今金町	女	3161	80	120	117	138	75	101	137	164	149	184	173	245	291	232	244	239	472
013714	北海道	久遠郡せたな町	女	5125	136	155	184	176	108	167	200	262	233	263	276	413	457	428	418	426	823
013919	北海道	島牧郡島牧村	女	967	24	28	25	34	29	26	38	43	46	44	53	54	82	88	101	96	156
013927	北海道	寿都郡寿都町	女	1737	35	41	69	60	46	56	77	74	79	77	101	139	160	154	144	134	291
013935	北海道	寿都郡黒松内町	女	1682	61	56	80	60	67	71	67	98	85	82	97	113	116	129	101	140	259
013943	北海道	磯谷郡蘭越町	女	2787	65	113	128	110	73	100	94	159	145	165	178	203	250	199	218	205	382
013951	北海道	虻田郡ニセコ町	女	2370	77	95	100	93	79	74	152	202	163	139	147	174	179	144	144	132	276
013960	北海道	虻田郡真狩村	女	1122	31	44	37	52	39	27	76	67	46	65	67	78	94	85	58	78	178
013978	北海道	虻田郡留寿都村	女	1011	50	44	35	39	41	82	61	55	48	55	64	72	58	57	51	62	137
013986	北海道	虻田郡喜茂別町	女	1224	38	42	30	40	37	49	64	57	66	68	70	81	118	104	106	86	168
013994	北海道	虻田郡京極町	女	1738	72	65	67	59	55	64	90	116	106	90	92	135	144	113	127	130	213
014001	北海道	虻田郡倶知安町	女	7742	399	381	317	280	294	404	575	623	508	444	467	522	621	464	431	378	634
014010	北海道	岩内郡共和町	女	3322	113	134	150	151	92	118	172	216	180	191	196	231	248	245	229	213	443
014028	北海道	岩内郡岩内町	女	7938	234	282	293	363	251	326	341	459	481	458	472	570	707	617	688	547	849
014036	北海道	古宇郡泊村	女	1021	30	40	43	49	24	35	45	58	39	57	45	64	81	64	79	81	187
014044	北海道	古宇郡神恵内村	女	551	20	17	9	12	13	16	24	28	27	23	31	44	43	36	51	45	112
014052	北海道	積丹郡積丹町	女	1371	30	34	39	40	19	31	37	61	73	63	74	112	134	109	142	140	233
014061	北海道	古平郡古平町	女	1992	50	43	52	59	59	69	61	105	115	104	106	131	191	166	185	202	294
014079	北海道	余市郡仁木町	女	1945	54	59	70	79	67	58	73	96	96	101	99	153	189	156	169	153	273
014087	北海道	余市郡余市町	女	11343	345	338	424	472	362	408	477	649	608	629	655	863	1106	857	910	828	1412
014095	北海道	余市郡赤井川村	女	624	34	30	27	20	17	24	29	43	34	31	35	56	45	49	43	37	70
014231	北海道	空知郡南幌町	女	4513	103	139	216	322	246	171	143	238	321	405	393	322	351	264	279	240	360
014249	北海道	空知郡奈井江町	女	3310	62	103	137	124	102	88	129	170	184	184	178	275	284	269	286	252	483
014257	北海道	空知郡上砂川町	女	2142	42	58	77	78	46	54	63	105	73	85	102	151	197	214	224	207	366
014273	北海道	夕張郡由仁町	女	3156	73	109	117	137	106	101	124	161	165	176	178	234	270	259	276	252	418
014281	北海道	夕張郡長沼町	女	6187	207	213	229	296	273	273	236	347	357	378	403	427	535	455	434	413	711
014290	北海道	夕張郡栗山町	女	7104	220	233	285	305	269	235	318	419	363	364	370	543	635	584	549	523	889
014303	北海道	樺戸郡月形町	女	1924	58	40	65	82	78	66	69	83	97	101	120	147	156	138	151	157	316
014311	北海道	樺戸郡浦臼町	女	1159	26	31	44	35	35	29	53	55	49	66	61	88	102	86	92	112	195
014320	北海道	樺戸郡新十津川町	女	3860	116	139	177	151	142	122	157	216	227	219	213	281	365	282	329	286	438
014338	北海道	雨竜郡妹背牛町	女	1878	49	44	65	73	54	48	63	79	107	85	95	160	188	167	163	159	279
014346	北海道	雨竜郡秩父別町	女	1424	43	34	48	58	40	39	57	62	76	77	85	88	125	109	119	135	229
014362	北海道	雨竜郡雨竜町	女	1496	31	49	61	82	37	41	74	67	72	88	95	101	131	109	124	120	214
014371	北海道	雨竜郡北竜町	女	1170	34	34	47	53	35	36	41	46	68	47	73	72	97	101	90	101	195
014389	北海道	雨竜郡沼田町	女	1922	49	62	61	73	75	61	79	93	86	114	102	140	169	149	149	159	301
014524	北海道	上川郡鷹栖町	女	3952	144	214	195	170	125	130	238	274	244	219	255	266	324	271	253	222	408
014532	北海道	上川郡東神楽町	女	5019	169	296	328	274	180	181	229	369	419	374	325	337	368	289	271	246	364
014541	北海道	上川郡当麻町	女	3860	97	139	170	150	114	115	158	185	220	217	229	253	355	284	326	296	552
014559	北海道	上川郡比布町	女	2186	60	71	81	76	69	81	80	113	108	135	112	154	192	181	189	189	295
014567	北海道	上川郡愛別町	女	1754	43	50	63	52	52	64	67	88	80	76	92	121	180	164	137	161	264
014575	北海道	上川郡上川町	女	2227	57	85	85	62	62	68	87	84	100	102	120	174	217	182	217	235	290
014583	北海道	上川郡東川町	女	4083	144	206	186	214	134	128	190	272	261	225	212	280	384	317	246	238	446
014591	北海道	上川郡美瑛町	女	5779	169	212	221	224	167	218	256	344	341	329	332	406	493	423	450	453	741
014605	北海道	空知郡上富良野町	女	5847	262	260	283	291	215	293	312	369	343	314	333	383	504	388	417	351	529
014613	北海道	空知郡中富良野町	女	2924	126	133	120	124	96	110	154	164	147	194	182	197	219	170	226	214	348
014621	北海道	空知郡南富良野町	女	1425	44	52	43	63	74	75	58	86	88	75	79	91	103	90	100	102	202
014630	北海道	勇払郡占冠村	女	593	20	23	22	25	16	30	36	48	41	38	39	40	50	29	34	44	58
014648	北海道	上川郡和寒町	女	2104	64	67	64	63	59	75	77	91	101	86	121	140	197	179	178	175	367
014656	北海道	上川郡剣淵町	女	1894	36	70	55	82	67	76	78	100	84	103	117	157	160	132	145	146	286
014681	北海道	上川郡下川町	女	1933	46	67	58	59	45	52	83	108	85	101	101	159	179	159	168	155	308
014699	北海道	中川郡美深町	女	2625	80	79	110	94	73	85	126	148	131	129	151	219	210	193	224	198	375
014702	北海道	中川郡音威子府村	女	409	10	12	12	50	11	11	12	15	13	18	43	46	30	26	33	29	38
014711	北海道	中川郡中川町	女	943	29	26	34	42	21	28	31	47	51	54	60	68	76	75	93	76	132
014729	北海道	雨竜郡幌加内町	女	877	28	38	37	26	21	35	34	45	41	41	48	60	80	74	78	75	116
014818	北海道	増毛郡増毛町	女	2812	56	82	80	93	76	79	106	132	114	143	140	218	272	220	227	254	520
014826	北海道	留萌郡小平町	女	1899	42	51	67	70	54	77	74	111	97	101	100	150	156	163	180	147	259
014834	北海道	苫前郡苫前町	女	1905	52	60	71	73	52	56	77	88	117	87	113	129	157	162	175	163	273
014842	北海道	苫前郡羽幌町	女	4281	136	148	131	148	107	132	182	207	220	198	241	325	424	378	369	331	604
014851	北海道	苫前郡初山別村	女	727	19	26	27	23	23	21	22	45	35	37	54	51	55	61	52	70	106
014869	北海道	天塩郡遠別町	女	1577	47	52	58	74	34	41	64	75	77	94	101	124	135	120	139	123	219
014877	北海道	天塩郡天塩町	女	1816	74	64	68	76	46	80	100	84	94	99	103	150	175	111	135	114	243
015113	北海道	宗谷郡猿払村	女	1428	82	92	59	56	63	65	65	84	72	106	102	102	114	74	69	74	149
015121	北海道	枝幸郡浜頓別町	女	2108	77	82	78	96	60	69	115	115	107	114	137	183	218	134	158	136	229
015130	北海道	枝幸郡中頓別町	女	1014	18	34	43	37	18	24	51	58	50	43	63	87	102	85	65	65	171
015148	北海道	枝幸郡枝幸町	女	4772	165	213	190	217	142	162	238	276	252	289	304	387	423	341	325	320	528
015164	北海道	天塩郡豊富町	女	2191	81	82	90	79	60	93	112	102	130	125	155	199	188	144	135	136	280
015172	北海道	礼文郡礼文町	女	1510	47	42	55	66	42	59	74	60	67	86	103	130	137	107	107	114	214
015181	北海道	利尻郡利尻町	女	1268	44	47	32	52	27	45	56	58	51	62	81	97	103	103	106	101	203
015199	北海道	利尻郡利尻富士町	女	1524	57	54	42	54	35	56	77	69	72	82	95	96	125	104	118	129	259
015202	北海道	天塩郡幌延町	女	1298	56	52	36	61	53	67	85	72	63	79	89	119	96	81	83	75	131
015431	北海道	網走郡美幌町	女	11131	397	418	480	450	404	473	566	617	646	707	719	815	1011	795	813	720	1100
015440	北海道	網走郡津別町	女	2981	77	61	113	131	80	52	120	133	135	146	155	241	273	257	281	247	479
015458	北海道	斜里郡斜里町	女	6434	238	220	252	272	232	289	353	351	345	387	409	534	586	441	430	412	683
015466	北海道	斜里郡清里町	女	2338	76	84	99	98	81	87	93	131	109	133	139	166	190	171	192	174	315
015474	北海道	斜里郡小清水町	女	2844	92	110	100	117	96	112	129	147	138	173	181	198	248	195	225	204	379
015491	北海道	常呂郡訓子府町	女	2905	98	114	123	119	103	95	121	161	146	165	195	210	261	202	201	213	378
015504	北海道	常呂郡置戸町	女	1804	50	56	52	69	56	73	72	81	84	74	101	137	165	147	139	151	297
015521	北海道	常呂郡佐呂間町	女	3059	107	121	118	118	88	95	126	169	149	159	162	243	289	207	238	237	433
015555	北海道	紋別郡遠軽町	女	11499	400	461	453	444	371	489	566	633	620	620	665	789	1041	880	898	797	1372
015598	北海道	紋別郡湧別町	女	5264	152	206	218	239	156	193	217	291	253	288	339	374	444	380	409	384	721
015601	北海道	紋別郡滝上町	女	1618	38	43	40	51	53	50	48	76	64	85	113	122	153	117	146	144	275
015610	北海道	紋別郡興部町	女	2169	64	85	102	100	68	84	97	123	131	107	162	165	184	152	188	130	227
015628	北海道	紋別郡西興部村	女	591	22	13	22	18	22	39	36	23	19	38	38	36	35	38	48	46	98
015636	北海道	紋別郡雄武町	女	2511	75	80	92	105	85	103	93	137	141	152	159	194	235	189	193	185	293
015644	北海道	網走郡大空町	女	4168	154	161	181	190	144	139	199	261	212	249	278	293	366	276	271	264	530
015717	北海道	虻田郡豊浦町	女	2327	54	81	95	72	82	98	106	119	116	125	143	184	201	150	190	152	359
015750	北海道	有珠郡壮瞥町	女	1517	43	56	55	59	56	57	73	70	77	71	99	105	139	114	110	116	217
015784	北海道	白老郡白老町	女	10142	239	299	378	424	287	336	396	521	564	531	526	820	1176	942	822	722	1159
015814	北海道	勇払郡厚真町	女	2484	83	92	96	104	95	90	109	108	111	149	147	170	205	191	191	207	336
015849	北海道	虻田郡洞爺湖町	女	5399	148	150	162	247	192	205	229	279	274	309	317	390	508	455	460	388	686
