地域標準コード	市区町村名	介護老人福祉施設（施設数）	介護老人福祉施設（定員）	介護老人福祉施設（常勤換算従事者数）	介護老人保健施設（施設数）	介護老人保健施設（定員）	介護老人保健施設（常勤換算従事者数）	介護療養型医療施設（施設数）	介護療養型医療施設（病床数）	介護療養型医療施設（常勤換算従事者数）
01484	羽幌町	2	110	88	-	-	-	-	-	-
01485	初山別村	-	-	-	-	-	-	-	-	-
01486	遠別町	1	50	29	-	-	-	-	-	-
01487	天塩町	1	50	29	-	-	-	-	-	-
01511	猿払村	1	30	28	-	-	-	-	-	-
01512	浜頓別町	2	100	63	-	-	-	-	-	-
01513	中頓別町	1	55	45	-	-	-	-	-	-
01514	枝幸町	2	100	62	1	29	24	-	-	-
01516	豊富町	1	100	52	-	-	-	-	-	-
01517	礼文町	1	30	23	-	-	-	-	-	-
01518	利尻町	1	30	22	-	-	-	-	-	-
01519	利尻富士町　	1	50	31	1	40	31	-	-	-
01520	幌延町	1	40	34	-	-	-	-	-	-
01543	美幌町	2	100	75	1	100	58	-	-	-
01544	津別町	1	50	29	-	-	-	-	-	-
01545	斜里町	1	60	34	-	-	-	-	-	-
01546	清里町	1	40	24	1	72	41	-	-	-
01547	小清水町	1	50	29	-	-	-	-	-	-
01549	訓子府町	1	50	37	-	-	-	-	-	-
01550	置戸町	1	50	30	-	-	-	-	-	-
01552	佐呂間町	1	60	30	-	-	-	-	-	-
01555	遠軽町	2	100	83	1	100	50	-	-	-
01559	湧別町	2	80	54	-	-	-	-	-	-
01560	滝上町	-	-	-	-	-	-	-	-	-
01561	興部町	-	-	-	-	-	-	-	-	-
01562	西興部村	2	80	46	-	-	-	-	-	-
01563	雄武町	1	60	41	1	26	20	-	-	-
01564	大空町	3	90	55	-	-	-	-	-	-
01571	豊浦町	3	180	111	1	50	26	-	-	-
01575	壮瞥町	1	50	26	1	100	51	1	120	81
01578	白老町	2	100	64	3	192	106	-	-	-
01581	厚真町	1	80	41	-	-	-	-	-	-
01584	洞爺湖町	1	60	41	-	-	-	1	88	52
01585	安平町	1	30	21	-	-	-	1	10	11
01586	むかわ町	2	180	99	-	-	-	-	-	-
01601	日高町	2	80	49	1	80	45	-	-	-
01602	平取町	1	50	29	-	-	-	-	-	-
01604	新冠町	1	70	33	-	-	-	-	-	-
01607	浦河町	1	50	35	1	75	54	-	-	-
01608	様似町	1	50	41	-	-	-	-	-	-
01609	えりも町	1	40	24	-	-	-	-	-	-
01610	新ひだか町　	2	170	115	1	50	31	-	-	-
01631	音更町	2	172	143	2	200	112	-	-	-
01632	士幌町	1	107	71	-	-	-	-	-	-
01633	上士幌町	1	50	40	-	-	-	-	-	-
01634	鹿追町	1	30	18	1	100	75	-	-	-
01635	新得町	1	50	41	-	-	-	-	-	-
01636	清水町	1	60	62	1	29	24	-	-	-
01637	芽室町	2	120	82	1	100	63	-	-	-
01638	中札内村	1	50	33	-	-	-	-	-	-
01639	更別村	-	-	-	-	-	-	-	-	-
01641	大樹町	1	50	36	1	100	56	-	-	-
01642	広尾町	1	50	38	-	-	-	1	16	23
01643	幕別町	1	91	61	1	150	84	-	-	-
01644	池田町	1	50	36	1	29	17	-	-	-
01645	豊頃町	1	50	27	-	-	-	-	-	-
01646	本別町	1	50	36	1	80	43	-	-	-
01647	足寄町	1	56	40	1	50	41	-	-	-
01648	陸別町	1	50	26	-	-	-	-	-	-
01649	浦幌町	1	50	30	-	-	-	-	-	-
01661	釧路町	2	80	47	1	100	59	-	-	-
01662	厚岸町	1	50	33	1	23	10	-	-	-
01663	浜中町	1	50	27	-	-	-	1	6	8
01664	標茶町	1	100	58	-	-	-	-	-	-
01665	弟子屈町	-	-	-	-	-	-	1	20	66
01667	鶴居村	-	-	-	1	100	54	1	26	17
01668	白糠町	1	50	34	-	-	-	-	-	-
01691	別海町	1	86	59	1	50	35	-	-	-
01692	中標津町	2	90	74	-	-	-	1	60	47
01693	標津町	1	58	40	-	-	-	-	-	-
01694	羅臼町	-	-	-	-	-	-	-	-	-
02000	青森県	91	5254	3725	62	5293	3216	17	851	647
02201	青森市	14	844	673	13	1100	770	3	123	98
02202	弘前市	11	735	528	11	987	571	3	20	22
02203	八戸市	9	565	416	7	730	415	4	183	147
02204	黒石市	2	105	83	1	100	56	-	-	-
02205	五所川原市　	6	260	201	2	200	116	3	189	111
02206	十和田市	2	120	86	4	400	241	-	-	-
02207	三沢市	2	110	64	1	100	44	-	-	-
02208	むつ市	6	312	169	3	209	122	1	40	21
02209	つがる市	3	220	122	1	100	53	1	222	166
02210	平川市	2	125	102	2	200	122	1	24	42
02301	平内町	2	80	58	-	-	-	-	-	-
02303	今別町	1	50	25	-	-	-	-	-	-
02304	蓬田村	1	50	27	-	-	-	-	-	-
02307	外ヶ浜町	2	80	61	1	50	21	-	-	-
02321	鰺ケ沢町	1	50	33	1	100	60	-	-	-
02323	深浦町	2	80	62	1	100	51	-	-	-
02343	西目屋村	1	30	18	-	-	-	-	-	-
02361	藤崎町	2	100	74	1	100	50	-	-	-
02362	大鰐町	1	50	32	-	-	-	-	-	-
02367	田舎館村	-	-	-	-	-	-	-	-	-
02381	板柳町	1	80	62	-	-	-	-	-	-
