地域標準コード	市区町村名	介護老人福祉施設（施設数）	介護老人福祉施設（定員）	介護老人福祉施設（常勤換算従事者数）	介護老人保健施設（施設数）	介護老人保健施設（定員）	介護老人保健施設（常勤換算従事者数）	介護療養型医療施設（施設数）	介護療養型医療施設（病床数）	介護療養型医療施設（常勤換算従事者数）
10201	前橋市	21	1317	804	10	775	533	1	5	3
10202	高崎市	23	1267	913	16	1078	637	1	14	22
10203	桐生市	14	760	555	6	510	317	1	12	30
10204	伊勢崎市	15	850	593	5	349	269	2	138	82
10205	太田市	14	740	542	7	367	226	1	48	22
10206	沼田市	3	216	130	3	200	106	-	-	-
10207	館林市	4	230	166	4	270	186	2	100	57
10208	渋川市	3	220	155	2	150	88	-	-	-
10209	藤岡市	5	260	150	4	230	144	1	36	23
10210	富岡市	4	230	125	5	348	214	1	100	56
10211	安中市	6	330	187	3	230	134	1	14	31
10212	みどり市	3	150	134	2	200	122	-	-	-
10344	榛東村	1	70	43	1	80	53	-	-	-
10345	吉岡町	1	60	30	2	100	74	-	-	-
10366	上野村	-	-	-	-	-	-	-	-	-
10367	神流町	-	-	-	-	-	-	-	-	-
10382	下仁田町	2	70	50	-	-	-	1	28	28
10383	南牧村	1	50	31	-	-	-	-	-	-
10384	甘楽町	1	60	32	-	-	-	-	-	-
10421	中之条町	2	150	107	2	150	84	-	-	-
10424	長野原町	1	80	60	-	-	-	-	-	-
10425	嬬恋村	1	70	41	-	-	-	-	-	-
10426	草津町	-	-	-	-	-	-	-	-	-
10428	高山村	-	-	-	1	80	54	-	-	-
10429	東吾妻町	1	50	26	-	-	-	-	-	-
10443	片品村	1	50	41	-	-	-	-	-	-
10444	川場村	1	70	37	1	87	51	-	-	-
10448	昭和村	1	70	62	-	-	-	-	-	-
10449	みなかみ町　	2	160	96	2	80	44	-	-	-
10464	玉村町	1	70	37	-	-	-	-	-	-
10521	板倉町	1	69	34	-	-	-	-	-	-
10522	明和町	1	70	44	-	-	-	-	-	-
10523	千代田町	2	120	78	-	-	-	-	-	-
10524	大泉町	1	70	39	1	70	44	-	-	-
10525	邑楽町	1	70	28	1	70	40	-	-	-
11000	埼玉県	298	24456	14695	150	15334	9269	21	1831	1336
11100	さいたま市　	47	4290	2492	24	2646	1477	3	316	179
11101	西区　	8	793	463	6	690	386	-	-	-
11102	北区　	4	480	290	3	378	206	-	-	-
11103	大宮区	2	130	62	-	-	-	-	-	-
11104	見沼区	9	873	527	5	526	298	1	172	100
11105	中央区	2	150	100	-	-	-	-	-	-
11106	桜区　	2	160	81	2	250	141	1	60	33
11107	浦和区	1	120	46	1	100	48	-	-	-
11108	南区　	3	277	155	1	100	86	-	-	-
11109	緑区　	7	521	290	4	450	233	-	-	-
11110	岩槻区	9	786	478	2	152	80	1	84	46
11201	川越市	11	948	585	7	600	370	1	61	37
11202	熊谷市	11	868	516	5	500	286	1	16	33
11203	川口市	22	2064	1273	10	891	571	3	289	178
11206	行田市	3	270	194	2	160	118	-	-	-
11207	秩父市	5	360	233	2	200	122	-	-	-
11208	所沢市	11	738	421	6	580	385	1	176	96
11209	飯能市	4	280	175	2	127	72	2	350	249
11210	加須市	8	480	297	3	287	135	1	46	28
11211	本庄市	4	300	147	2	214	121	1	35	30
11212	東松山市	2	190	111	2	184	104	-	-	-
11214	春日部市	10	813	456	4	304	181	2	180	231
11215	狭山市	7	527	351	4	474	276	-	-	-
11216	羽生市	4	218	147	2	200	100	-	-	-
11217	鴻巣市	9	565	426	4	430	263	-	-	-
11218	深谷市	10	664	409	3	320	183	-	-	-
11219	上尾市	8	685	417	4	550	334	-	-	-
11221	草加市	5	410	279	3	342	259	-	-	-
11222	越谷市	8	669	421	5	579	349	-	-	-
11223	蕨市　	2	114	56	1	150	100	1	43	39
11224	戸田市	6	412	268	2	160	197	-	-	-
11225	入間市	4	364	242	4	370	254	-	-	-
11227	朝霞市	4	320	172	3	375	208	-	-	-
11228	志木市	2	170	100	1	120	72	-	-	-
11229	和光市	-	-	-	-	-	-	1	72	39
11230	新座市	5	547	341	2	244	153	-	-	-
11231	桶川市	3	223	124	2	227	134	-	-	-
11232	久喜市	6	432	285	4	381	195	-	-	-
11233	北本市	5	370	250	2	197	93	-	-	-
11234	八潮市	2	180	110	1	150	110	1	58	67
11235	富士見市	4	389	222	2	204	113	-	-	-
11237	三郷市	4	285	149	1	150	115	-	-	-
11238	蓮田市	2	264	165	2	200	135	-	-	-
11239	坂戸市	3	291	173	3	300	187	-	-	-
11240	幸手市	3	178	105	1	92	39	-	-	-
11241	鶴ケ島市	1	80	45	1	107	61	-	-	-
11242	日高市	2	275	184	2	215	104	-	-	-
11243	吉川市	2	190	81	1	100	56	-	-	-
11245	ふじみ野市　	5	445	209	4	430	273	-	-	-
11246	白岡市	3	230	121	1	95	58	-	-	-
11301	伊奈町	4	419	279	-	-	-	-	-	-
11324	三芳町	4	288	188	3	330	210	-	-	-
11326	毛呂山町	2	242	134	1	100	59	-	-	-
11327	越生町	1	70	37	-	-	-	-	-	-
11341	滑川町	1	80	45	1	100	72	-	-	-
11342	嵐山町	2	160	78	-	-	-	-	-	-
11343	小川町	2	130	71	-	-	-	-	-	-
11346	川島町	2	130	82	1	100	71	1	26	19
11347	吉見町	1	80	56	1	50	32	-	-	-
11348	鳩山町	-	-	-	-	-	-	-	-	-
11349	ときがわ町　	2	164	93	-	-	-	-	-	-
11361	横瀬町	1	90	56	1	100	52	-	-	-
11362	皆野町	1	78	39	-	-	-	-	-	-
11363	長瀞町	1	87	33	1	81	57	-	-	-
11365	小鹿野町	2	155	95	-	-	-	-	-	-
11369	東秩父村	-	-	-	1	100	74	-	-	-
11381	美里町	2	160	83	-	-	-	-	-	-
11383	神川町	2	130	64	1	60	35	-	-	-
11385	上里町	3	240	139	1	80	45	-	-	-
11408	寄居町	2	149	93	1	100	58	-	-	-
11442	宮代町	2	200	118	1	80	50	-	-	-
11464	杉戸町	3	250	144	1	98	51	-	-	-
11465	松伏町	1	56	23	1	100	44	2	163	110
12000	千葉県	282	17946	11590	139	13602	8149	25	1546	1128
12100	千葉市	36	2187	1369	22	2072	1227	2	101	67
12101	中央区	4	262	176	4	392	253	1	42	27
12102	花見川区	3	250	130	6	522	309	-	-	-
12103	稲毛区	5	330	199	3	300	160	1	59	40
12104	若葉区	15	790	486	4	360	212	-	-	-
12105	緑区　	7	425	285	4	378	217	-	-	-
12106	美浜区	2	130	93	1	120	76	-	-	-
12202	銚子市	4	310	163	3	280	157	-	-	-
12203	市川市	9	734	630	8	900	581	2	131	66
12204	船橋市	21	1527	973	12	1177	659	-	-	-
12205	館山市	4	230	133	4	348	274	2	31	62
12206	木更津市	9	507	329	3	370	200	-	-	-
12207	松戸市	15	1046	705	11	996	568	1	114	57
12208	野田市	8	568	337	4	424	225	1	52	31
12210	茂原市	5	274	185	2	220	121	-	-	-
12211	成田市	7	350	223	3	276	116	1	60	35
12212	佐倉市	10	730	471	4	376	238	-	-	-
12213	東金市	5	250	192	1	115	73	2	26	43
12215	旭市　	6	398	211	2	180	102	-	-	-
12216	習志野市	5	410	285	2	229	140	-	-	-
12217	柏市　	12	819	541	7	720	413	-	-	-
12218	勝浦市	4	220	125	1	100	59	-	-	-
12219	市原市	12	648	462	7	582	363	-	-	-
12220	流山市	7	518	331	2	252	209	-	-	-
12221	八千代市	8	496	280	1	100	62	-	-	-
12222	我孫子市	5	360	188	4	445	274	-	-	-
12223	鴨川市	2	148	105	1	100	63	4	206	197
12224	鎌ケ谷市	6	390	240	2	260	136	1	380	264
12225	君津市	6	422	247	2	200	108	3	158	96
12226	富津市	7	300	220	1	100	71	-	-	-
12227	浦安市	2	170	101	1	100	58	-	-	-
12228	四街道市	4	230	153	2	154	98	-	-	-
12229	袖ケ浦市	4	215	141	2	190	101	-	-	-
12230	八街市	5	248	162	-	-	-	-	-	-
12231	印西市	5	360	234	1	27	18	-	-	-
12232	白井市	3	170	94	1	125	82	-	-	-
12233	富里市	1	80	44	1	172	136	1	120	78
12234	南房総市	7	381	234	3	288	184	1	68	56
12235	匝瑳市	2	120	81	2	180	100	1	6	14
12236	香取市	4	280	183	3	280	174	-	-	-
12237	山武市	4	294	145	3	240	161	-	-	-
12238	いすみ市	4	230	140	3	300	207	-	-	-
12239	大網白里市　	1	80	54	1	100	60	-	-	-
12322	酒々井町	2	110	74	-	-	-	-	-	-
12329	栄町　	-	-	-	1	80	38	-	-	-
12342	神崎町	1	70	61	-	-	-	-	-	-
12347	多古町	1	80	40	-	-	-	1	30	27
12349	東庄町	1	50	36	1	84	39	1	43	21
12403	九十九里町　	1	50	22	-	-	-	-	-	-
12409	芝山町	2	84	65	1	100	58	-	-	-
12410	横芝光町	4	234	176	-	-	-	-	-	-
12421	一宮町	1	54	44	-	-	-	-	-	-
12422	睦沢町	1	54	36	1	100	55	-	-	-
12423	長生村	2	100	76	-	-	-	-	-	-
12424	白子町	1	50	41	-	-	-	-	-	-
12426	長柄町	-	-	-	1	138	80	-	-	-
12427	長南町	2	100	68	-	-	-	-	-	-
12441	大多喜町	1	80	45	2	122	64	1	20	14
12443	御宿町	1	50	33	-	-	-	-	-	-
12463	鋸南町	2	80	66	-	-	-	-	-	-
13000	東京都	432	38059	23747	165	17921	10898	63	5297	3719
13101	千代田区	2	137	90	-	-	-	-	-	-
13102	中央区	4	245	161	1	100	53	1	52	34
13103	港区　	8	711	427	3	250	177	-	-	-
13104	新宿区	6	451	316	3	350	252	-	-	-
13105	文京区	5	419	259	2	189	124	1	27	23
13106	台東区	6	423	274	2	250	154	-	-	-
13107	墨田区	7	486	338	3	361	191	-	-	-
13108	江東区	13	1194	686	6	658	400	1	60	35
13109	品川区	8	653	337	1	100	65	1	252	150
13110	目黒区	6	509	303	2	220	127	1	40	38
13111	大田区	14	1464	818	6	570	347	4	186	127
13112	世田谷区	16	1197	735	7	706	424	2	141	93
13113	渋谷区	7	607	423	2	200	128	2	213	142
13114	中野区	9	680	465	1	100	67	2	195	117
13115	杉並区	12	1094	678	2	206	109	-	-	-
13116	豊島区	7	464	300	1	106	57	1	85	67
13117	北区　	10	950	605	4	403	231	-	-	-
13118	荒川区	8	568	341	2	305	166	3	139	114
13119	板橋区	10	982	638	7	933	570	6	456	333
13120	練馬区	24	1624	1110	8	907	512	2	248	136
13121	足立区	18	1953	1181	13	1567	866	4	239	149
13122	葛飾区	16	1569	931	7	843	556	2	72	60
13123	江戸川区	16	1295	816	9	827	484	2	126	84
13201	八王子市	23	2252	1312	7	827	519	5	817	513
13202	立川市	7	664	445	3	381	192	-	-	-
13203	武蔵野市	6	322	243	3	168	118	2	36	33
13204	三鷹市	4	337	230	4	371	250	1	129	86
13205	青梅市	25	2406	1453	3	355	225	4	597	413
13206	府中市	8	598	380	4	486	307	1	34	52
13207	昭島市	4	390	272	3	396	223	-	-	-
13208	調布市	6	439	297	4	375	203	-	-	-
13209	町田市	17	1586	1010	5	570	336	1	222	136
13210	小金井市	2	199	136	2	197	115	1	22	17
13211	小平市	7	563	376	1	100	61	1	45	20
13212	日野市	4	365	222	5	549	341	-	-	-
13213	東村山市	8	855	556	5	474	305	1	114	145
13214	国分寺市	4	303	187	2	132	82	-	-	-
13215	国立市	2	145	82	1	66	43	1	8	13
13218	福生市	4	449	270	1	100	88	1	48	42
13219	狛江市	2	134	87	-	-	-	1	136	90
13220	東大和市	4	326	194	1	100	64	-	-	-
13221	清瀬市	4	332	204	2	190	130	2	134	109
13222	東久留米市　	4	369	231	1	150	88	-	-	-
13223	武蔵村山市　	4	337	208	1	148	105	1	60	34
13224	多摩市	6	577	387	2	250	154	1	98	62
13225	稲城市	3	334	195	1	195	136	-	-	-
13227	羽村市	3	402	249	-	-	-	-	-	-
13228	あきる野市　	11	1100	651	2	151	90	1	52	74
13229	西東京市	8	558	380	4	430	259	1	63	89
13303	瑞穂町	3	360	234	3	259	186	-	-	-
13305	日の出町	7	723	465	3	350	217	2	151	89
13307	檜原村	2	200	108	-	-	-	-	-	-
13308	奥多摩町	4	475	265	-	-	-	-	-	-
13361	大島町	1	100	59	-	-	-	-	-	-
13362	利島村	-	-	-	-	-	-	-	-	-
13363	新島村	-	-	-	-	-	-	-	-	-
13364	神津島村	1	34	26	-	-	-	-	-	-
13381	三宅村	1	50	27	-	-	-	-	-	-
13382	御蔵島村	-	-	-	-	-	-	-	-	-
13401	八丈町	1	100	72	-	-	-	-	-	-
13402	青ケ島村	-	-	-	-	-	-	-	-	-
13421	小笠原村	-	-	-	-	-	-	-	-	-
14000	神奈川県	346	29424	18566	158	16613	9833	34	2081	1649
14100	横浜市	132	13150	8238	69	7902	4672	8	415	430
14101	鶴見区	4	447	271	1	50	31	-	-	-
14102	神奈川区	6	714	496	4	543	286	1	24	19
14103	西区　	3	236	135	-	-	-	-	-	-
14104	中区　	2	114	66	1	88	54	-	-	-
14105	南区　	7	541	349	1	130	88	-	-	-
14106	保土ヶ谷区　	10	1003	653	3	362	203	-	-	-
14107	磯子区	6	603	382	4	450	261	-	-	-
14108	金沢区	5	464	291	4	582	358	-	-	-
14109	港北区	7	826	507	5	592	387	1	12	9
14110	戸塚区	10	990	606	9	1051	595	-	-	-
14111	港南区	5	514	306	2	300	158	1	2	6
14112	旭区　	17	1551	1023	6	662	408	1	43	25
14113	緑区　	9	1149	708	5	540	323	2	232	296
14114	瀬谷区	6	571	326	3	312	172	1	24	28
14115	栄区　	6	607	385	4	394	249	-	-	-
14116	泉区　	15	1392	903	6	652	416	1	78	47
14117	青葉区	9	910	529	4	325	214	-	-	-
14118	都筑区	5	518	300	7	869	471	-	-	-
14130	川崎市	47	3580	2068	18	1975	1213	4	303	231
14131	川崎区	5	354	208	3	250	143	1	48	28
14132	幸区　	9	740	469	2	222	150	-	-	-
14133	中原区	5	458	218	1	150	78	-	-	-
14134	高津区	3	214	114	2	235	123	-	-	-
14135	多摩区	11	775	481	4	332	220	-	-	-
14136	宮前区	5	305	158	3	456	302	1	32	28
14137	麻生区	9	734	420	3	330	197	2	223	175
14150	相模原市	34	2419	1577	11	1131	691	8	731	377
14151	緑区　	10	606	410	5	550	353	1	54	39
14152	中央区	7	374	248	4	390	222	2	133	81
14153	南区　	17	1439	919	2	191	116	5	544	257
14201	横須賀市	19	1982	1227	7	792	486	1	36	25
14203	平塚市	10	778	573	4	344	188	4	203	282
14204	鎌倉市	9	663	450	5	460	260	2	63	65
14205	藤沢市	12	950	628	5	500	284	1	60	41
14206	小田原市	8	688	475	4	380	221	1	12	54
14207	茅ヶ崎市	10	690	466	3	326	170	1	60	29
14208	逗子市	3	188	125	2	175	73	-	-	-
14210	三浦市	3	164	84	2	200	125	-	-	-
14211	秦野市	5	473	271	4	335	223	-	-	-
14212	厚木市	5	349	210	3	300	187	-	-	-
14213	大和市	8	540	392	5	517	330	-	-	-
14214	伊勢原市	6	318	252	2	175	95	-	-	-
14215	海老名市	7	413	247	2	185	97	-	-	-
14216	座間市	5	380	230	2	121	66	1	44	26
14217	南足柄市	2	100	62	1	82	47	-	-	-
14218	綾瀬市	3	234	140	1	87	51	-	-	-
14301	葉山町	2	160	102	2	70	42	-	-	-
14321	寒川町	2	114	84	1	90	41	-	-	-
14341	大磯町	2	150	93	1	100	58	-	-	-
14342	二宮町	1	98	53	-	-	-	-	-	-
14361	中井町	1	100	59	-	-	-	-	-	-
14362	大井町	1	50	34	-	-	-	-	-	-
14363	松田町	1	70	58	-	-	-	-	-	-
14364	山北町	1	83	50	-	-	-	-	-	-
14366	開成町	-	-	-	1	100	57	-	-	-
14382	箱根町	2	166	85	1	100	49	1	40	24
14383	真鶴町	-	-	-	-	-	-	-	-	-
14384	湯河原町	2	180	113	1	100	73	2	114	67
14401	愛川町	3	194	124	1	66	36	-	-	-
14402	清川村	-	-	-	-	-	-	-	-	-
15000	新潟県	184	12901	8394	98	9763	5761	25	1569	1037
15100	新潟市	58	3862	2329	34	3427	1905	5	399	233
15101	北区　	7	452	283	3	272	168	-	-	-
15102	東区　	7	430	279	3	296	162	1	27	22
15103	中央区	8	530	268	9	781	467	1	111	63
15104	江南区	6	530	287	4	517	271	-	-	-
15105	秋葉区	5	330	201	3	280	150	-	-	-
15106	南区　	5	330	200	2	245	139	-	-	-
15107	西区　	12	820	489	6	598	307	2	166	95
15108	西蒲区	8	440	322	4	438	241	1	95	54
15202	長岡市	16	1240	835	9	1069	736	5	396	247
15204	三条市	6	390	238	5	490	274	3	228	140
15205	柏崎市	8	645	460	2	290	164	-	-	-
15206	新発田市	8	585	341	4	343	184	1	120	87
15208	小千谷市	2	140	86	2	200	118	1	60	56
15209	加茂市	3	220	158	1	100	53	-	-	-
15210	十日町市	7	404	272	3	300	175	1	52	37
15211	見附市	4	240	172	1	89	51	-	-	-
15212	村上市	5	349	193	3	270	142	3	177	126
15213	燕市　	6	459	359	2	192	125	1	13	9
15216	糸魚川市	5	316	266	3	295	166	-	-	-
15217	妙高市	3	260	167	2	180	85	-	-	-
15218	五泉市	3	240	150	1	90	50	1	40	26
15222	上越市	16	1253	856	10	917	597	-	-	-
15223	阿賀野市	5	355	225	2	146	84	1	42	23
15224	佐渡市	7	574	381	4	320	191	-	-	-
15225	魚沼市	5	290	187	1	93	60	-	-	-
15226	南魚沼市	5	386	273	1	200	136	2	16	35
15227	胎内市	1	50	31	2	193	118	-	-	-
15307	聖籠町	2	120	71	1	119	70	-	-	-
15342	弥彦村	1	50	35	-	-	-	-	-	-
15361	田上町	1	50	31	2	100	77	-	-	-
15385	阿賀町	2	100	59	1	150	67	-	-	-
15405	出雲崎町	1	100	58	-	-	-	-	-	-
15461	湯沢町	2	86	71	-	-	-	1	26	17
15482	津南町	1	87	62	1	110	93	-	-	-
15504	刈羽村	-	-	-	-	-	-	-	-	-
15581	関川村	1	50	30	1	80	42	-	-	-
15586	粟島浦村	-	-	-	-	-	-	-	-	-
16000	富山県	76	5046	3474	46	4181	2580	34	1904	1535
16201	富山市	24	1694	1116	17	1687	1014	15	961	754
16202	高岡市	13	854	628	7	660	438	6	308	231
16204	魚津市	4	172	121	5	244	180	2	104	69
16205	氷見市	6	362	218	2	200	135	-	-	-
16206	滑川市	3	162	103	1	150	99	1	28	35
16207	黒部市	3	160	123	-	-	-	2	115	77
16208	砺波市	2	176	114	2	180	97	4	202	179
16209	小矢部市	1	80	57	2	180	110	1	40	32
16210	南砺市	4	302	256	3	240	156	1	28	67
16211	射水市	10	584	445	3	230	141	1	99	57
16321	舟橋村	1	80	49	-	-	-	-	-	-
16322	上市町	-	-	-	1	130	71	-	-	-
16323	立山町	1	80	45	1	70	33	-	-	-
16342	入善町	2	190	110	1	150	72	1	19	35
16343	朝日町	2	150	91	1	60	34	-	-	-
17000	石川県	68	5861	3641	39	3721	2105	22	957	702
17201	金沢市	18	1812	987	9	1109	622	8	385	231
17202	七尾市	6	420	248	4	329	199	3	141	126
17203	小松市	8	750	475	4	363	210	1	15	42
17204	輪島市	4	325	241	1	104	64	-	-	-
17205	珠洲市	1	100	57	1	100	46	1	8	15
17206	加賀市	5	332	210	6	569	331	-	-	-
17207	羽咋市	2	170	108	1	100	43	-	-	-
17209	かほく市	2	180	120	-	-	-	2	116	73
17210	白山市	7	550	393	1	137	85	-	-	-
17211	能美市	1	80	65	2	104	72	2	72	61
17212	野々市市	2	140	72	2	200	102	-	-	-
17324	川北町	-	-	-	1	29	20	-	-	-
17361	津幡町	2	160	117	1	50	31	-	-	-
17365	内灘町	1	97	64	1	100	55	1	20	25
17384	志賀町	2	150	96	2	128	64	2	36	31
17386	宝達志水町　	2	155	93	-	-	-	1	20	19
17407	中能登町	1	90	56	1	100	52	-	-	-
17461	穴水町	1	90	74	2	199	110	-	-	-
17463	能登町	3	260	167	-	-	-	1	144	78
18000	福井県	61	3959	2624	35	3095	1839	22	642	524
18201	福井市	19	1394	885	9	957	580	10	232	219
18202	敦賀市	5	287	184	4	295	175	1	60	47
18204	小浜市	3	190	114	1	100	64	1	44	27
18205	大野市	3	220	171	2	123	70	-	-	-
18206	勝山市	1	90	61	3	243	128	1	40	27
18207	鯖江市	4	215	138	3	302	188	1	126	83
18208	あわら市	2	140	82	2	109	73	-	-	-
18209	越前市	6	330	232	2	230	129	4	79	64
18210	坂井市	6	323	251	3	266	175	2	25	30
18322	永平寺町	2	160	107	-	-	-	-	-	-
18382	池田町	1	30	24	-	-	-	-	-	-
18404	南越前町	1	110	72	2	150	80	-	-	-
18423	越前町	3	170	119	1	100	46	1	12	12
18442	美浜町	1	80	49	-	-	-	-	-	-
18481	高浜町	1	80	55	1	70	36	-	-	-
18483	おおい町	1	60	28	1	50	26	-	-	-
18501	若狭町	2	80	56	1	100	69	1	24	15
19000	山梨県	52	3176	2018	30	2766	1539	6	172	133
19201	甲府市	10	636	404	5	481	282	1	60	41
19202	富士吉田市　	3	190	125	1	100	56	1	33	27
19204	都留市	3	164	94	1	100	58	-	-	-
19205	山梨市	3	214	127	-	-	-	-	-	-
19206	大月市	2	104	67	1	100	53	-	-	-
19207	韮崎市	1	60	43	1	100	50	1	16	12
19208	南アルプス市	4	244	163	2	192	102	-	-	-
19209	北杜市	3	252	141	3	260	151	1	24	19
19210	甲斐市	3	178	133	2	129	59	-	-	-
19211	笛吹市	2	114	82	3	320	174	1	18	11
19212	上野原市	2	134	66	1	90	56	-	-	-
19213	甲州市	3	182	131	2	190	98	-	-	-
19214	中央市	2	114	80	1	100	60	-	-	-
19346	市川三郷町　	2	110	69	2	170	94	-	-	-
19364	早川町	-	-	-	-	-	-	-	-	-
19365	身延町	2	140	88	1	54	35	-	-	-
19366	南部町	2	80	55	-	-	-	-	-	-
19368	富士川町	3	130	88	1	100	55	-	-	-
19384	昭和町	1	70	32	1	100	61	-	-	-
19422	道志村	-	-	-	-	-	-	-	-	-
19423	西桂町	-	-	-	-	-	-	-	-	-
19424	忍野村	1	60	32	-	-	-	-	-	-
19425	山中湖村	-	-	-	1	90	54	-	-	-
19429	鳴沢村	-	-	-	-	-	-	-	-	-
19430	富士河口湖町	-	-	-	1	90	41	1	21	22
19442	小菅村	-	-	-	-	-	-	-	-	-
19443	丹波山村	-	-	-	-	-	-	-	-	-
20000	長野県	146	9741	6226	84	6926	4290	36	1327	995
20201	長野市	20	1276	808	11	1021	570	5	289	187
20202	松本市	8	636	409	9	690	486	3	123	117
20203	上田市	10	712	465	6	610	356	3	160	116
20204	岡谷市	2	173	103	2	170	101	1	31	32
20205	飯田市	7	410	322	3	300	179	1	111	57
20206	諏訪市	2	163	103	5	358	230	2	71	56
20207	須坂市	3	175	122	2	190	113	-	-	-
20208	小諸市	2	124	68	3	300	166	1	6	5
20209	伊那市	5	490	328	3	243	204	2	114	91
20210	駒ケ根市	3	237	167	3	165	119	-	-	-
20211	中野市	4	230	142	2	240	126	1	17	15
20212	大町市	2	144	108	1	50	20	-	-	-
20213	飯山市	1	60	38	-	-	-	-	-	-
20214	茅野市	3	216	153	2	150	101	2	25	17
20215	塩尻市	4	324	188	3	254	150	1	36	24
20217	佐久市	9	550	352	5	366	231	4	92	72
20218	千曲市	4	212	133	1	100	46	-	-	-
20219	東御市	4	196	172	1	90	43	1	6	12
20220	安曇野市	8	530	312	4	235	144	1	50	29
20303	小海町	-	-	-	-	-	-	-	-	-
20304	川上村	-	-	-	-	-	-	-	-	-
20305	南牧村	1	80	45	-	-	-	-	-	-
20306	南相木村	-	-	-	-	-	-	-	-	-
20307	北相木村	-	-	-	-	-	-	-	-	-
20309	佐久穂町	2	70	55	1	80	44	-	-	-
20321	軽井沢町	1	60	26	-	-	-	1	8	15
20323	御代田町	1	100	51	1	100	50	1	42	23
20324	立科町	1	64	41	-	-	-	-	-	-
20349	青木村	1	80	53	-	-	-	-	-	-
20350	長和町	-	-	-	1	70	42	-	-	-
20361	下諏訪町	2	104	66	2	109	59	-	-	-
20362	富士見町	2	160	88	1	84	64	-	-	-
20363	原村　	1	50	26	1	53	43	-	-	-
20382	辰野町	2	180	89	1	19	21	-	-	-
20383	箕輪町	2	104	98	1	100	61	-	-	-
20384	飯島町	1	84	45	-	-	-	-	-	-
20385	南箕輪村	1	64	42	-	-	-	-	-	-
20386	中川村	-	-	-	-	-	-	-	-	-
20388	宮田村	-	-	-	1	100	93	-	-	-
20402	松川町	1	50	44	-	-	-	1	40	20
20403	高森町	1	64	42	1	140	74	1	36	35
20404	阿南町	2	150	103	-	-	-	-	-	-
20407	阿智村	1	80	60	1	100	60	1	18	17
20409	平谷村	-	-	-	-	-	-	-	-	-
20410	根羽村	-	-	-	-	-	-	-	-	-
20411	下條村	1	60	44	-	-	-	-	-	-
20412	売木村	-	-	-	-	-	-	-	-	-
20413	天龍村	1	50	31	-	-	-	-	-	-
20414	泰阜村	1	50	32	-	-	-	-	-	-
20415	喬木村	-	-	-	-	-	-	-	-	-
20416	豊丘村	-	-	-	1	100	74	-	-	-
20417	大鹿村	-	-	-	-	-	-	-	-	-
20422	上松町	1	30	16	-	-	-	-	-	-
20423	南木曽町	1	74	39	-	-	-	-	-	-
20425	木祖村	1	62	27	-	-	-	-	-	-
20429	王滝村	-	-	-	-	-	-	-	-	-
20430	大桑村	-	-	-	-	-	-	-	-	-
20432	木曽町	3	124	69	-	-	-	-	-	-
20446	麻績村	1	108	51	-	-	-	-	-	-
20448	生坂村	-	-	-	-	-	-	-	-	-
20450	山形村	-	-	-	-	-	-	-	-	-
20451	朝日村	-	-	-	-	-	-	-	-	-
20452	筑北村	-	-	-	1	29	23	-	-	-
20481	池田町	2	169	93	-	-	-	-	-	-
20482	松川村	1	60	37	2	160	109	-	-	-
20485	白馬村	1	80	44	1	80	58	1	6	4
20486	小谷村	-	-	-	-	-	-	-	-	-
20521	坂城町	2	100	45	-	-	-	-	-	-
20541	小布施町	1	70	54	-	-	-	-	-	-
20543	高山村	1	50	33	1	70	31	-	-	-
20561	山ノ内町	1	70	42	-	-	-	-	-	-
20562	木島平村	-	-	-	-	-	-	-	-	-
20563	野沢温泉村　	1	60	39	-	-	-	-	-	-
20583	信濃町	1	50	27	-	-	-	1	25	27
20588	小川村	-	-	-	-	-	-	-	-	-
20590	飯綱町	1	72	38	-	-	-	1	21	23
20602	栄村　	-	-	-	-	-	-	-	-	-
21000	岐阜県	116	8859	5575	69	6239	3611	21	568	557
21201	岐阜市	17	1439	771	15	1335	818	5	152	112
21202	大垣市	8	710	379	3	327	176	-	-	-
21203	高山市	5	360	229	5	500	258	1	60	61
21204	多治見市	7	570	350	2	200	107	1	18	14
21205	関市　	7	500	316	4	286	161	-	-	-
21206	中津川市	7	476	309	3	290	198	1	20	15
21207	美濃市	2	160	101	-	-	-	-	-	-
21208	瑞浪市	3	210	120	1	170	100	1	14	31
21209	羽島市	4	210	140	1	100	45	-	-	-
21210	恵那市	3	210	125	2	195	118	-	-	-
21211	美濃加茂市　	2	210	132	3	294	184	-	-	-
21212	土岐市	2	200	112	2	200	127	1	5	6
21213	各務原市	5	426	258	3	333	160	2	59	42
21214	可児市	4	350	209	2	236	119	1	25	53
21215	山県市	2	150	80	1	100	63	-	-	-
21216	瑞穂市	2	142	92	1	108	74	-	-	-
21217	飛騨市	3	262	199	1	76	44	1	38	35
21218	本巣市	3	260	162	2	168	97	1	12	15
21219	郡上市	4	275	207	3	190	105	-	-	-
21220	下呂市	3	200	141	2	111	69	1	14	13
21221	海津市	2	150	94	1	100	60	-	-	-
21302	岐南町	1	90	77	-	-	-	-	-	-
21303	笠松町	1	80	57	2	201	112	1	95	52
21341	養老町	-	-	-	-	-	-	-	-	-
21361	垂井町	3	220	161	1	100	43	-	-	-
21362	関ケ原町	1	90	44	-	-	-	1	8	25
21381	神戸町	1	40	28	-	-	-	1	14	10
21382	輪之内町	-	-	-	1	70	40	-	-	-
21383	安八町	2	160	85	-	-	-	-	-	-
