地域標準コード	市区町村名	介護老人福祉施設（施設数）	介護老人福祉施設（定員）	介護老人福祉施設（常勤換算従事者数）	介護老人保健施設（施設数）	介護老人保健施設（定員）	介護老人保健施設（常勤換算従事者数）	介護療養型医療施設（施設数）	介護療養型医療施設（病床数）	介護療養型医療施設（常勤換算従事者数）
00000	全国　　　　　	6212	449010	295115	3683	328650	197676	1509	65539	51802
01000	北海道	290	20346	13649	173	14931	9191	76	4552	3473
01100	札幌市	46	3961	2655	39	3629	2200	19	1746	1309
01101	中央区	3	353	238	2	185	122	3	549	363
01102	北区　	6	508	311	6	540	319	2	54	42
01103	東区　	6	530	340	5	475	309	2	40	35
01104	白石区	3	244	161	3	300	172	-	-	-
01105	豊平区	7	530	351	4	365	215	3	178	129
01106	南区　	3	276	185	4	396	264	2	310	326
01107	西区　	4	310	225	5	467	281	2	112	80
01108	厚別区	3	264	198	3	300	188	2	273	194
01109	手稲区	5	438	315	4	336	174	2	130	78
01110	清田区	6	508	331	3	265	156	1	100	61
01202	函館市	11	893	618	8	988	619	6	246	215
01203	小樽市	4	402	229	4	350	206	6	465	327
01204	旭川市	13	1020	741	9	822	506	8	472	383
01205	室蘭市	4	324	217	3	250	136	1	30	47
01206	釧路市	9	690	541	4	374	246	1	20	14
01207	帯広市	5	439	359	5	454	292	1	70	66
01208	北見市	6	521	306	3	280	165	3	50	54
01209	夕張市	1	105	123	-	-	-	-	-	-
01210	岩見沢市	4	380	265	3	338	210	1	16	14
01211	網走市	1	42	33	2	169	104	-	-	-
01212	留萌市	1	50	32	2	129	75	-	-	-
01213	苫小牧市	5	340	230	6	488	294	2	148	112
01214	稚内市	2	163	112	1	100	65	-	-	-
01215	美唄市	2	90	59	1	80	50	2	119	67
01216	芦別市	1	86	57	1	100	50	1	60	52
01217	江別市	4	330	269	5	400	278	2	70	54
01218	赤平市	3	130	79	1	100	53	-	-	-
01219	紋別市	1	57	35	1	100	55	-	-	-
01220	士別市	2	120	84	2	149	91	-	-	-
01221	名寄市	2	180	142	1	100	60	-	-	-
01222	三笠市	-	-	-	1	46	31	-	-	-
01223	根室市	2	86	68	1	70	52	-	-	-
01224	千歳市	2	150	72	2	200	119	-	-	-
01225	滝川市	1	200	159	1	100	54	1	114	33
01226	砂川市	1	100	64	1	62	35	-	-	-
01227	歌志内市	1	50	31	-	-	-	-	-	-
01228	深川市	2	150	97	1	96	60	1	55	33
01229	富良野市	-	-	-	1	100	56	1	23	17
01230	登別市	1	100	76	1	100	85	-	-	-
01231	恵庭市	2	121	84	2	200	117	1	60	36
01233	伊達市	4	210	115	2	300	177	-	-	-
01234	北広島市	2	150	99	2	190	117	3	154	119
01235	石狩市	3	230	149	1	100	83	1	57	35
01236	北斗市	3	200	138	1	96	71	-	-	-
01303	当別町	1	50	27	1	100	53	-	-	-
01304	新篠津村	1	135	80	-	-	-	-	-	-
01331	松前町	1	70	56	-	-	-	-	-	-
01332	福島町	1	50	39	-	-	-	-	-	-
01333	知内町	1	57	30	-	-	-	-	-	-
01334	木古内町	1	50	32	1	80	48	-	-	-
01337	七飯町	1	50	32	1	100	57	1	14	12
01343	鹿部町	1	50	24	-	-	-	-	-	-
01345	森町　	2	100	68	1	80	53	-	-	-
01346	八雲町	2	119	60	1	90	55	-	-	-
01347	長万部町	1	80	56	-	-	-	-	-	-
01361	江差町	1	130	79	1	80	41	-	-	-
01362	上ノ国町	1	50	30	-	-	-	-	-	-
01363	厚沢部町	1	30	21	-	-	-	-	-	-
01364	乙部町	1	50	26	-	-	-	-	-	-
01367	奥尻町	1	30	28	-	-	-	-	-	-
01370	今金町	1	50	32	1	80	36	-	-	-
01371	せたな町	2	100	62	-	-	-	-	-	-
01391	島牧村	-	-	-	-	-	-	-	-	-
01392	寿都町	1	50	35	-	-	-	-	-	-
01393	黒松内町	1	80	55	1	80	51	-	-	-
01394	蘭越町	-	-	-	-	-	-	1	37	31
01395	ニセコ町	1	50	31	-	-	-	-	-	-
01396	真狩村	-	-	-	-	-	-	-	-	-
01397	留寿都村	-	-	-	-	-	-	-	-	-
01398	喜茂別町	-	-	-	-	-	-	-	-	-
01399	京極町	-	-	-	-	-	-	-	-	-
01400	倶知安町	1	70	39	1	100	49	-	-	-
01401	共和町	1	50	35	-	-	-	-	-	-
01402	岩内町	1	50	27	1	100	78	-	-	-
01403	泊村　	-	-	-	-	-	-	-	-	-
01404	神恵内村	-	-	-	1	86	48	-	-	-
